sample_id,image_path,code,details
lfw_00001,data/raw/images/lfw_00001.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=-31.6, pitch=-33.3"
lfw_00002,data/raw/images/lfw_00002.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=19.5, pitch=-38.0"
lfw_00004,data/raw/images/lfw_00004.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=10.0, pitch=-26.5"
lfw_00005,data/raw/images/lfw_00005.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=-17.1, pitch=-30.1"
lfw_00007,data/raw/images/lfw_00007.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=18.9, pitch=-18.2"
lfw_00008,data/raw/images/lfw_00008.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=6.1, pitch=-19.5"
lfw_00009,data/raw/images/lfw_00009.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=-24.8, pitch=-21.9"
lfw_00010,data/raw/images/lfw_00010.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=-18.6, pitch=-21.6"
lfw_00011,data/raw/images/lfw_00011.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=33.2, pitch=-26.5"
lfw_00012,data/raw/images/lfw_00012.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=-6.7, pitch=-27.7"
lfw_00013,data/raw/images/lfw_00013.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=32.6, pitch=-24.2"
lfw_00014,data/raw/images/lfw_00014.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=29.5, pitch=-30.9"
lfw_00015,data/raw/images/lfw_00015.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=26.0, pitch=-38.7"
lfw_00016,data/raw/images/lfw_00016.jpg,MULTIPLE_FACES_DETECTED,
lfw_00018,data/raw/images/lfw_00018.jpg,MULTIPLE_FACES_DETECTED,
lfw_00019,data/raw/images/lfw_00019.jpg,MULTIPLE_FACES_DETECTED,
lfw_00020,data/raw/images/lfw_00020.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=-25.3, pitch=-37.6"
lfw_00021,data/raw/images/lfw_00021.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=-17.4, pitch=-4.4"
lfw_00022,data/raw/images/lfw_00022.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=70.1, pitch=-13.9"
lfw_00023,data/raw/images/lfw_00023.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=27.0, pitch=-4.0"
lfw_00024,data/raw/images/lfw_00024.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=70.1, pitch=-8.9"
lfw_00025,data/raw/images/lfw_00025.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=-8.5, pitch=-29.8"
lfw_00026,data/raw/images/lfw_00026.jpg,MULTIPLE_FACES_DETECTED,
lfw_00027,data/raw/images/lfw_00027.jpg,FACE_TOO_ANGLED_OR_SMALL,"Pose out of frontal band (|yaw|<=15.0, |pitch|<=15.0): yaw=7.0, pitch=-33.1"
