sample_id,image_path,split,suggestion_ids,priority_order,label_method,annotator_id,num_non_ok_features,primary_feature,quality_score,reviewed,reviewer_notes
lfw_02554,data/raw/images/lfw_02554.jpg,train,SUG_MIDFACE_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_CHIN_LONG_01|SUG_BROW_LOW_01,SUG_MIDFACE_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_CHIN_LONG_01|SUG_BROW_LOW_01,rules_v1,rules_v1,11,nose_width_ratio,0.5576495203982988,,
lfw_02935,data/raw/images/lfw_02935.jpg,train,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_MIDFACE_HIGH_01|SUG_LOWERFACE_LOW_01,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_MIDFACE_HIGH_01|SUG_LOWERFACE_LOW_01,rules_v1,rules_v1,16,upper_lip_ratio,0.6295487537654456,,
lfw_01196,data/raw/images/lfw_01196.jpg,val,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_EYE_SIZE_LOW_01|SUG_EYE_TILT_HIGH_01,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_EYE_SIZE_LOW_01|SUG_EYE_TILT_HIGH_01,rules_v1,rules_v1,8,nose_tip_deviation_ratio,0.42615209323209313,,
lfw_00876,data/raw/images/lfw_00876.jpg,val,SUG_FACE_ASPECT_LOW_01|SUG_JAW_ANGLE_HIGH_01|SUG_EYE_CLOSE_01|SUG_BROW_TILT_HIGH_01,SUG_FACE_ASPECT_LOW_01|SUG_JAW_ANGLE_HIGH_01|SUG_EYE_CLOSE_01|SUG_BROW_TILT_HIGH_01,rules_v1,rules_v1,5,jaw_angle_sharpness,0.6105575994772969,,
lfw_01553,data/raw/images/lfw_01553.jpg,train,SUG_JAW_NARROW_01|SUG_JAW_ANGLE_LOW_01|SUG_CHIN_NARROW_01|SUG_CHEEK_NARROW_01,SUG_JAW_NARROW_01|SUG_JAW_ANGLE_LOW_01|SUG_CHIN_NARROW_01|SUG_CHEEK_NARROW_01,rules_v1,rules_v1,12,chin_width_ratio,0.5374731413367958,,
lfw_00506,data/raw/images/lfw_00506.jpg,test,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_LOW_01|SUG_JAW_ANGLE_LOW_01|SUG_EYE_SIZE_LOW_01,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_LOW_01|SUG_JAW_ANGLE_LOW_01|SUG_EYE_SIZE_LOW_01,rules_v1,rules_v1,8,jaw_angle_sharpness,0.46821204836576097,,
lfw_01528,data/raw/images/lfw_01528.jpg,val,SUG_JAW_NARROW_01|SUG_LOWER_CHEEK_LOW_01|SUG_EYE_TILT_LOW_01|SUG_NOSE_SHORT_01,SUG_JAW_NARROW_01|SUG_LOWER_CHEEK_LOW_01|SUG_EYE_TILT_LOW_01|SUG_NOSE_SHORT_01,rules_v1,rules_v1,8,upper_lip_ratio,0.5043353775146999,,
lfw_01539,data/raw/images/lfw_01539.jpg,test,SUG_MIDFACE_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_CHIN_LONG_01|SUG_EYE_OPEN_LOW_01,SUG_MIDFACE_LOW_01|SUG_LOWERFACE_HIGH_01|SUG_CHIN_LONG_01|SUG_EYE_OPEN_LOW_01,rules_v1,rules_v1,9,lip_thickness_ratio,0.5619602756720993,,
lfw_03248,data/raw/images/lfw_03248.jpg,train,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_ANGLE_LOW_01|SUG_EYE_SIZE_LOW_01|SUG_NOSE_LONG_01,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_ANGLE_LOW_01|SUG_EYE_SIZE_LOW_01|SUG_NOSE_LONG_01,rules_v1,rules_v1,8,symmetry_error,0.768622409943322,,
lfw_00099,data/raw/images/lfw_00099.jpg,train,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_FACE_ASPECT_LOW_01|SUG_MIDFACE_LOW_01,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_FACE_ASPECT_LOW_01|SUG_MIDFACE_LOW_01,rules_v1,rules_v1,14,lip_thickness_ratio,0.40549189134884916,,
lfw_02426,data/raw/images/lfw_02426.jpg,train,SUG_MIDFACE_LOW_01|SUG_LOWER_CHEEK_LOW_01|SUG_EYE_WIDE_01|SUG_NOSE_SHORT_01,SUG_MIDFACE_LOW_01|SUG_LOWER_CHEEK_LOW_01|SUG_EYE_WIDE_01|SUG_NOSE_SHORT_01,rules_v1,rules_v1,7,nose_length_ratio,0.510674906812619,,
lfw_02813,data/raw/images/lfw_02813.jpg,train,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_ANGLE_LOW_01|SUG_NOSE_NARROW_01,SUG_FACE_ASPECT_HIGH_01|SUG_JAW_ANGLE_LOW_01|SUG_NOSE_NARROW_01,rules_v1,rules_v1,3,jaw_angle_sharpness,0.6134832039996219,,
lfw_00074,data/raw/images/lfw_00074.jpg,train,SUG_FACE_ASPECT_LOW_01|SUG_JAW_ANGLE_HIGH_01|SUG_EYE_OPEN_HIGH_01|SUG_EYE_CLOSE_01,SUG_FACE_ASPECT_LOW_01|SUG_JAW_ANGLE_HIGH_01|SUG_EYE_OPEN_HIGH_01|SUG_EYE_CLOSE_01,rules_v1,rules_v1,10,face_aspect_ratio,0.6352067177070058,,
lfw_02112,data/raw/images/lfw_02112.jpg,train,SUG_SYM_HIGH_01|SUG_JAW_ANGLE_HIGH_01|SUG_BROW_LOW_01,SUG_SYM_HIGH_01|SUG_JAW_ANGLE_HIGH_01|SUG_BROW_LOW_01,rules_v1,rules_v1,3,jaw_angle_sharpness,0.5856318006297643,,
lfw_02667,data/raw/images/lfw_02667.jpg,train,SUG_JAW_WIDE_01|SUG_CHIN_WIDE_01|SUG_BROW_LOW_01|SUG_BROW_TILT_HIGH_01,SUG_JAW_WIDE_01|SUG_CHIN_WIDE_01|SUG_BROW_LOW_01|SUG_BROW_TILT_HIGH_01,rules_v1,rules_v1,5,philtrum_ratio,0.561494745026449,,
