feature,r,abs_r,p_value
mouth_width_ratio,0.45751001384487366,0.45751001384487366,8.765126580754762e-123
philtrum_ratio,-0.3553614714174785,0.3553614714174785,2.1613349234146305e-71
upper_lip_ratio,-0.33739797586418807,0.33739797586418807,4.169061412398316e-64
lip_thickness_ratio,0.32513550627973864,0.32513550627973864,2.1026874738155173e-59
eye_openness_ratio,-0.30841576676071775,0.30841576676071775,2.470568168336794e-53
nose_width_ratio,0.1567561201258796,0.1567561201258796,1.7212547243208773e-14
symmetry_error,-0.14238377925845977,0.14238377925845977,3.4256508333803664e-12
nose_tip_deviation_ratio,-0.13720146243105505,0.13720146243105505,2.0376772992218663e-11
brow_height_ratio,-0.11159635060478709,0.11159635060478709,5.224117809724124e-08
midface_length_ratio,0.10821937622903043,0.10821937622903043,1.3074744407959123e-07
lowerface_length_ratio,-0.09056638941676196,0.09056638941676196,1.0196508090682991e-05
nose_length_ratio,0.07229494995157729,0.07229494995157729,0.0004314981632674932
face_aspect_ratio,0.0639569361754547,0.0639569361754547,0.0018509219376748602
cheekbone_width_ratio,0.044012144481166235,0.044012144481166235,0.03225972085605702
jaw_angle_sharpness,-0.04324472262782131,0.04324472262782131,0.03539524627472922
jaw_width_ratio,-0.027696710974515787,0.027696710974515787,0.17796666300424296
chin_width_ratio,0.02420624905876499,0.02420624905876499,0.23910428419299956
mouth_corner_tilt_deg,0.020609161345015288,0.020609161345015288,0.3162228161643276
eye_spacing_ratio,-0.020432536857302657,0.020432536857302657,0.32038899636718
eye_size_ratio,-0.01760038747931949,0.01760038747931949,0.39205036347731853
brow_tilt_deg,-0.01225000365907647,0.01225000365907647,0.5513806285008075
eye_tilt_deg,-0.005259048878040904,0.005259048878040904,0.7981601490513383
lower_cheek_ratio,-0.0008135827665047305,0.0008135827665047305,0.968442814410105
