feature,eta_squared,F,p_value,spread,highest,lowest
upper_lip_ratio,0.07494886590219338,31.86838669584917,4.764500337030398e-37,0.008482657991493447,Black,White
nose_width_ratio,0.07224644905824955,30.629833322364945,1.3848793058857421e-35,0.017671995866251483,Black,East Asian
brow_height_ratio,0.05903848446131812,24.678803016534,1.6316419413944753e-28,0.017087832870526648,East Asian,White
chin_width_ratio,0.0412061507466779,16.904314352505253,3.3624231652253646e-19,0.013606504475215664,Black,Southeast Asian
mouth_width_ratio,0.02313430029739165,9.314987160545794,4.059901958635298e-10,0.02992896507424747,Black,East Asian
lip_thickness_ratio,0.021716517645402274,8.731446894410581,1.9901614587005137e-09,0.0330860553262015,Black,Indian
nose_length_ratio,0.021455864471359925,8.624349567543065,2.6627693599820493e-09,0.010254420221372906,Middle Eastern,Latino_Hispanic
jaw_width_ratio,0.017786226789953292,7.1226000505481215,1.5405178002703923e-07,0.00919492312508341,Middle Eastern,Southeast Asian
lowerface_length_ratio,0.01733642066701007,6.939294660388772,2.5183599969073647e-07,0.017000336330199817,Black,Southeast Asian
midface_length_ratio,0.01695330033821622,6.783297411329446,3.8231698115089405e-07,0.016900325200229577,Middle Eastern,Black
lower_cheek_ratio,0.01231636554759022,4.904847004042289,5.403649483960154e-05,0.007495973848749671,Indian,Southeast Asian
eye_size_ratio,0.009464364990812265,3.758219389739538,0.0009985250877904916,0.01277596208291526,Black,East Asian
face_aspect_ratio,0.007280906731343237,2.884827474103328,0.00837240134045472,0.02915451102364175,Indian,Middle Eastern
philtrum_ratio,0.0057895257832046906,2.2904742343627813,0.03299202477070511,0.005091960191875883,White,Indian
eye_openness_ratio,0.0055737740416989924,2.2046392842823073,0.03993691512666261,0.031390133168055334,Indian,Southeast Asian
jaw_angle_sharpness,0.004789403507816372,1.8928978982415134,0.07842696090729905,2.942085588764627,Middle Eastern,Indian
eye_spacing_ratio,0.004608407231331928,1.8210322357810993,0.09119144537806932,0.12508045781550448,East Asian,Indian
cheekbone_width_ratio,0.00450980407142706,1.781892253032215,0.09891290034212583,0.0026470460542245,Indian,Black
eye_tilt_deg,0.0023970957145342396,0.9451231984855977,0.46130184297216803,0.6430443100407212,White,Latino_Hispanic
mouth_corner_tilt_deg,0.0022831234921949117,0.9000835755529497,0.49375910147173374,0.6012400199194127,Southeast Asian,Latino_Hispanic
brow_tilt_deg,0.0019305597628788815,0.7608223196894528,0.6007661257364665,0.6760725594594648,Black,Latino_Hispanic
nose_tip_deviation_ratio,0.0006599411869435424,0.25974828545627043,0.9554589352230202,0.028068892904572096,White,Black
symmetry_error,0.0001481426062799589,0.05827805860027429,0.9992165791461907,0.017832199732462584,East Asian,Black
