race,feature,global,region,changed
East Asian,brow_height_ratio,high,high,False
East Asian,brow_tilt_deg,ok,ok,False
East Asian,cheekbone_width_ratio,ok,ok,False
East Asian,chin_width_ratio,low,ok,True
East Asian,eye_openness_ratio,high,high,False
East Asian,eye_size_ratio,ok,ok,False
East Asian,eye_spacing_ratio,ok,ok,False
East Asian,eye_tilt_deg,ok,ok,False
East Asian,face_aspect_ratio,high,high,False
East Asian,jaw_angle_sharpness,low,low,False
East Asian,jaw_width_ratio,ok,ok,False
East Asian,lip_thickness_ratio,ok,ok,False
East Asian,lower_cheek_ratio,ok,ok,False
East Asian,lowerface_length_ratio,ok,ok,False
East Asian,midface_length_ratio,ok,ok,False
East Asian,mouth_corner_tilt_deg,ok,ok,False
East Asian,mouth_width_ratio,low,ok,True
East Asian,nose_length_ratio,ok,ok,False
East Asian,nose_tip_deviation_ratio,low,low,False
East Asian,nose_width_ratio,ok,ok,False
East Asian,philtrum_ratio,ok,ok,False
East Asian,symmetry_error,low,low,False
East Asian,upper_lip_ratio,high,high,False
White,brow_height_ratio,low,ok,True
White,brow_tilt_deg,high,high,False
White,cheekbone_width_ratio,ok,ok,False
White,chin_width_ratio,ok,ok,False
White,eye_openness_ratio,ok,ok,False
White,eye_size_ratio,high,high,False
White,eye_spacing_ratio,ok,ok,False
White,eye_tilt_deg,high,high,False
White,face_aspect_ratio,low,low,False
White,jaw_angle_sharpness,high,ok,True
White,jaw_width_ratio,ok,ok,False
White,lip_thickness_ratio,ok,ok,False
White,lower_cheek_ratio,ok,ok,False
White,lowerface_length_ratio,ok,ok,False
White,midface_length_ratio,ok,ok,False
White,mouth_corner_tilt_deg,high,high,False
White,mouth_width_ratio,ok,ok,False
White,nose_length_ratio,ok,ok,False
White,nose_tip_deviation_ratio,ok,ok,False
White,nose_width_ratio,ok,high,True
White,philtrum_ratio,ok,ok,False
White,symmetry_error,ok,ok,False
White,upper_lip_ratio,ok,high,True
Latino_Hispanic,brow_height_ratio,ok,ok,False
Latino_Hispanic,brow_tilt_deg,low,low,False
Latino_Hispanic,cheekbone_width_ratio,high,high,False
Latino_Hispanic,chin_width_ratio,ok,ok,False
Latino_Hispanic,eye_openness_ratio,high,high,False
Latino_Hispanic,eye_size_ratio,ok,ok,False
Latino_Hispanic,eye_spacing_ratio,ok,ok,False
Latino_Hispanic,eye_tilt_deg,low,low,False
Latino_Hispanic,face_aspect_ratio,ok,ok,False
Latino_Hispanic,jaw_angle_sharpness,ok,ok,False
Latino_Hispanic,jaw_width_ratio,ok,ok,False
Latino_Hispanic,lip_thickness_ratio,ok,ok,False
Latino_Hispanic,lower_cheek_ratio,high,ok,True
Latino_Hispanic,lowerface_length_ratio,ok,ok,False
Latino_Hispanic,midface_length_ratio,ok,ok,False
Latino_Hispanic,mouth_corner_tilt_deg,low,low,False
Latino_Hispanic,mouth_width_ratio,ok,ok,False
Latino_Hispanic,nose_length_ratio,low,low,False
Latino_Hispanic,nose_tip_deviation_ratio,ok,ok,False
Latino_Hispanic,nose_width_ratio,ok,ok,False
Latino_Hispanic,philtrum_ratio,high,high,False
Latino_Hispanic,symmetry_error,ok,ok,False
Latino_Hispanic,upper_lip_ratio,ok,ok,False
Southeast Asian,brow_height_ratio,ok,ok,False
Southeast Asian,brow_tilt_deg,low,low,False
Southeast Asian,cheekbone_width_ratio,ok,ok,False
Southeast Asian,chin_width_ratio,ok,ok,False
Southeast Asian,eye_openness_ratio,low,low,False
Southeast Asian,eye_size_ratio,ok,ok,False
Southeast Asian,eye_spacing_ratio,ok,ok,False
Southeast Asian,eye_tilt_deg,low,low,False
Southeast Asian,face_aspect_ratio,low,low,False
Southeast Asian,jaw_angle_sharpness,high,high,False
Southeast Asian,jaw_width_ratio,ok,ok,False
Southeast Asian,lip_thickness_ratio,ok,ok,False
Southeast Asian,lower_cheek_ratio,ok,ok,False
Southeast Asian,lowerface_length_ratio,low,low,False
Southeast Asian,midface_length_ratio,high,high,False
Southeast Asian,mouth_corner_tilt_deg,low,low,False
Southeast Asian,mouth_width_ratio,high,high,False
Southeast Asian,nose_length_ratio,high,high,False
Southeast Asian,nose_tip_deviation_ratio,ok,high,True
Southeast Asian,nose_width_ratio,high,high,False
Southeast Asian,philtrum_ratio,low,low,False
Southeast Asian,symmetry_error,high,high,False
Southeast Asian,upper_lip_ratio,ok,ok,False
Latino_Hispanic,brow_height_ratio,low,low,False
Latino_Hispanic,brow_tilt_deg,high,high,False
Latino_Hispanic,cheekbone_width_ratio,ok,ok,False
Latino_Hispanic,chin_width_ratio,ok,ok,False
Latino_Hispanic,eye_openness_ratio,low,low,False
Latino_Hispanic,eye_size_ratio,ok,ok,False
Latino_Hispanic,eye_spacing_ratio,ok,ok,False
Latino_Hispanic,eye_tilt_deg,high,high,False
Latino_Hispanic,face_aspect_ratio,ok,ok,False
Latino_Hispanic,jaw_angle_sharpness,ok,ok,False
Latino_Hispanic,jaw_width_ratio,ok,ok,False
Latino_Hispanic,lip_thickness_ratio,ok,ok,False
Latino_Hispanic,lower_cheek_ratio,high,ok,True
Latino_Hispanic,lowerface_length_ratio,high,ok,True
Latino_Hispanic,midface_length_ratio,ok,ok,False
Latino_Hispanic,mouth_corner_tilt_deg,high,high,False
Latino_Hispanic,mouth_width_ratio,ok,ok,False
Latino_Hispanic,nose_length_ratio,ok,ok,False
Latino_Hispanic,nose_tip_deviation_ratio,ok,ok,False
Latino_Hispanic,nose_width_ratio,ok,low,True
Latino_Hispanic,philtrum_ratio,ok,ok,False
Latino_Hispanic,symmetry_error,ok,ok,False
Latino_Hispanic,upper_lip_ratio,ok,ok,False
Black,brow_height_ratio,high,high,False
Black,brow_tilt_deg,low,low,False
Black,cheekbone_width_ratio,ok,ok,False
Black,chin_width_ratio,high,high,False
Black,eye_openness_ratio,ok,ok,False
Black,eye_size_ratio,ok,ok,False
Black,eye_spacing_ratio,ok,ok,False
Black,eye_tilt_deg,low,low,False
Black,face_aspect_ratio,ok,ok,False
Black,jaw_angle_sharpness,low,low,False
Black,jaw_width_ratio,ok,ok,False
Black,lip_thickness_ratio,ok,ok,False
Black,lower_cheek_ratio,ok,ok,False
Black,lowerface_length_ratio,high,high,False
Black,midface_length_ratio,low,low,False
Black,mouth_corner_tilt_deg,low,low,False
Black,mouth_width_ratio,ok,ok,False
Black,nose_length_ratio,low,low,False
Black,nose_tip_deviation_ratio,ok,ok,False
Black,nose_width_ratio,ok,ok,False
Black,philtrum_ratio,ok,ok,False
Black,symmetry_error,ok,ok,False
Black,upper_lip_ratio,ok,ok,False
East Asian,brow_height_ratio,high,high,False
East Asian,brow_tilt_deg,ok,ok,False
East Asian,cheekbone_width_ratio,low,low,False
East Asian,chin_width_ratio,high,high,False
East Asian,eye_openness_ratio,ok,ok,False
East Asian,eye_size_ratio,ok,ok,False
East Asian,eye_spacing_ratio,high,high,False
East Asian,eye_tilt_deg,low,low,False
East Asian,face_aspect_ratio,ok,ok,False
East Asian,jaw_angle_sharpness,low,low,False
East Asian,jaw_width_ratio,low,ok,True
East Asian,lip_thickness_ratio,ok,ok,False
East Asian,lower_cheek_ratio,low,low,False
East Asian,lowerface_length_ratio,high,high,False
East Asian,midface_length_ratio,low,low,False
East Asian,mouth_corner_tilt_deg,low,low,False
East Asian,mouth_width_ratio,low,ok,True
East Asian,nose_length_ratio,low,low,False
East Asian,nose_tip_deviation_ratio,low,low,False
East Asian,nose_width_ratio,ok,ok,False
East Asian,philtrum_ratio,ok,ok,False
East Asian,symmetry_error,low,low,False
East Asian,upper_lip_ratio,high,high,False
Southeast Asian,brow_height_ratio,ok,ok,False
Southeast Asian,brow_tilt_deg,ok,ok,False
Southeast Asian,cheekbone_width_ratio,high,high,False
Southeast Asian,chin_width_ratio,low,ok,True
Southeast Asian,eye_openness_ratio,high,high,False
Southeast Asian,eye_size_ratio,low,low,False
Southeast Asian,eye_spacing_ratio,high,high,False
Southeast Asian,eye_tilt_deg,high,high,False
Southeast Asian,face_aspect_ratio,low,low,False
Southeast Asian,jaw_angle_sharpness,high,high,False
Southeast Asian,jaw_width_ratio,ok,high,True
Southeast Asian,lip_thickness_ratio,high,high,False
Southeast Asian,lower_cheek_ratio,high,high,False
Southeast Asian,lowerface_length_ratio,high,high,False
