sample_id,image_path,split,symmetry_error,face_aspect_ratio,midface_length_ratio,lowerface_length_ratio,jaw_width_ratio,jaw_angle_sharpness,chin_length_ratio,chin_width_ratio,cheekbone_width_ratio,lower_cheek_ratio,eye_openness_ratio,eye_size_ratio,eye_spacing_ratio,eye_tilt_deg,brow_height_ratio,brow_tilt_deg,nose_width_ratio,nose_length_ratio,nose_tip_deviation_ratio,mouth_width_ratio,mouth_corner_tilt_deg,lip_thickness_ratio,upper_lip_ratio,philtrum_ratio,y_symmetry_error,y_face_aspect_ratio,y_midface_length_ratio,y_lowerface_length_ratio,y_jaw_width_ratio,y_jaw_angle_sharpness,y_chin_length_ratio,y_chin_width_ratio,y_cheekbone_width_ratio,y_lower_cheek_ratio,y_eye_openness_ratio,y_eye_size_ratio,y_eye_spacing_ratio,y_eye_tilt_deg,y_brow_height_ratio,y_brow_tilt_deg,y_nose_width_ratio,y_nose_length_ratio,y_nose_tip_deviation_ratio,y_mouth_width_ratio,y_mouth_corner_tilt_deg,y_lip_thickness_ratio,y_upper_lip_ratio,y_philtrum_ratio,label_method,consent_flag,source
syn_0001,data/raw/images/syn_0001.jpg,train,0.017568,0.717406,0.278887,0.368775,0.877767,113.507940,0.142492,0.217327,0.917288,0.781738,0.283484,0.127272,1.074624,4.096694,0.076308,6.985338,0.262155,0.313111,0.012104,0.478671,1.832360,0.029093,0.054063,0.056471,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0002,data/raw/images/syn_0002.jpg,train,0.028481,0.705562,0.295064,0.372411,0.934763,104.641333,0.157048,0.159419,0.789003,0.743587,0.225051,0.141900,1.149640,-0.266762,0.096947,3.991189,0.256981,0.288244,0.013144,0.520932,3.096034,0.034799,0.062799,0.060742,high,ok,ok,ok,ok,low,ok,low,low,ok,low,high,ok,low,high,low,ok,ok,ok,high,ok,ok,high,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0003,data/raw/images/syn_0003.jpg,train,0.010476,0.676958,0.261201,0.384966,0.862492,146.029051,0.115421,0.176045,0.958424,0.865311,0.310342,0.140895,1.263952,3.670904,0.051541,5.871694,0.293351,0.242253,0.012335,0.492662,0.711020,0.037789,0.061969,0.082857,ok,ok,ok,ok,ok,high,low,low,high,high,ok,high,high,ok,low,ok,high,low,ok,ok,ok,ok,ok,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0004,data/raw/images/syn_0004.jpg,train,0.025440,0.683436,0.257528,0.318421,0.946659,111.198006,0.137892,0.249972,0.883827,0.762381,0.169523,0.092938,0.964840,5.455163,0.103870,7.926133,0.269148,0.306719,0.022847,0.524668,2.184233,0.023912,0.065841,0.059573,ok,ok,ok,low,high,ok,ok,high,ok,ok,low,low,ok,ok,high,ok,ok,ok,high,high,ok,low,high,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0005,data/raw/images/syn_0005.jpg,train,0.032723,0.718206,0.358124,0.342056,0.991514,119.381428,0.124512,0.174862,0.912448,0.865399,0.328982,0.137222,0.693619,6.488375,0.091117,5.800295,0.238042,0.299908,0.029249,0.427245,0.430487,0.042894,0.049646,0.050629,high,ok,high,ok,high,ok,ok,low,ok,high,high,high,low,high,ok,ok,ok,ok,high,low,ok,high,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0006,data/raw/images/syn_0006.jpg,train,0.019173,0.645523,0.288798,0.299519,0.941964,118.038170,0.208503,0.231234,0.988284,0.701804,0.272672,0.128079,1.311858,-1.883206,0.099812,10.365416,0.313674,0.328495,0.012521,0.453918,-1.620449,0.033563,0.052700,0.079243,ok,low,ok,low,high,ok,high,ok,high,low,ok,ok,high,low,high,ok,high,ok,ok,ok,low,ok,ok,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0007,data/raw/images/syn_0007.jpg,train,0.010668,0.739224,0.217240,0.340227,0.898280,127.887520,0.183443,0.218234,0.864138,0.807471,0.311019,0.132291,0.944957,7.966845,0.081758,10.799298,0.304593,0.324371,0.014865,0.587640,2.109258,0.029632,0.056344,0.072793,ok,ok,low,ok,ok,ok,high,ok,low,ok,ok,ok,ok,high,ok,ok,high,ok,ok,high,ok,ok,ok,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0008,data/raw/images/syn_0008.jpg,train,0.018356,0.727791,0.291957,0.353589,0.849785,118.898269,0.141723,0.213920,0.930889,0.789114,0.265075,0.123239,1.042646,2.702353,0.082265,7.954785,0.253479,0.305229,0.013220,0.472781,1.750220,0.034030,0.052862,0.056143,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0009,data/raw/images/syn_0009.jpg,train,0.018033,0.855961,0.205508,0.394764,0.858563,116.797629,0.197048,0.219657,1.032047,0.753471,0.301031,0.107729,0.946397,4.218691,0.074349,8.809966,0.186324,0.380099,0.010330,0.567145,-1.017780,0.034340,0.092979,0.044563,ok,high,low,ok,ok,ok,high,ok,high,ok,ok,ok,ok,ok,ok,ok,low,high,ok,high,low,ok,high,low,percentile_p20_p80,synthetic,synthetic_v1
syn_0010,data/raw/images/syn_0010.jpg,train,0.001000,0.687209,0.298900,0.394667,0.970326,114.915851,0.091932,0.202599,0.982011,0.807940,0.162584,0.119124,1.259725,11.442918,0.091234,9.237209,0.216593,0.266270,0.012469,0.505160,2.950460,0.028174,0.041177,0.045667,low,ok,ok,ok,high,ok,low,ok,high,ok,low,ok,high,high,ok,ok,low,low,ok,ok,ok,ok,low,low,percentile_p20_p80,synthetic,synthetic_v1
syn_0011,data/raw/images/syn_0011.jpg,train,0.004116,0.758605,0.187509,0.343336,0.911491,136.264153,0.142139,0.260051,0.900050,0.735336,0.239536,0.158183,1.199133,5.705893,0.146605,7.870635,0.281712,0.312304,0.009781,0.595809,5.266512,0.020804,0.050202,0.060140,low,ok,low,ok,ok,high,ok,high,ok,low,ok,high,high,ok,high,ok,ok,ok,ok,high,high,low,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0012,data/raw/images/syn_0012.jpg,train,0.027398,0.639093,0.189778,0.264682,0.875022,116.761562,0.150357,0.189213,0.858788,0.658617,0.299751,0.129251,1.198949,6.767785,0.076186,13.397044,0.255227,0.273567,0.006794,0.450759,-3.914342,0.033251,0.057999,0.050653,high,low,low,low,ok,ok,ok,low,low,low,ok,ok,high,high,ok,high,ok,ok,ok,ok,low,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0013,data/raw/images/syn_0013.jpg,train,0.009434,0.742308,0.348675,0.361913,0.844466,110.902634,0.137907,0.169409,0.913737,0.783671,0.390681,0.143587,1.205104,1.504680,0.093398,3.442470,0.270919,0.316749,0.004336,0.579969,2.918434,0.016778,0.061634,0.050111,ok,ok,high,ok,ok,ok,ok,low,ok,ok,high,high,high,ok,ok,low,ok,ok,low,high,ok,low,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0014,data/raw/images/syn_0014.jpg,train,0.018017,0.747946,0.295621,0.258042,0.798918,127.271490,0.179036,0.296126,1.010158,0.656668,0.326169,0.072093,1.292040,4.886723,0.057177,16.039604,0.282539,0.224354,0.014935,0.443443,1.778239,0.028278,0.071482,0.037921,ok,ok,ok,low,low,ok,high,high,high,low,high,low,high,ok,low,high,ok,low,ok,low,ok,ok,high,low,percentile_p20_p80,synthetic,synthetic_v1
syn_0015,data/raw/images/syn_0015.jpg,train,0.018952,0.747213,0.271730,0.362633,0.883535,115.930893,0.144859,0.220971,0.908203,0.806430,0.291874,0.118956,1.026125,3.313683,0.086155,7.853522,0.264020,0.298155,0.013541,0.478550,1.977409,0.031634,0.057489,0.057017,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0016,data/raw/images/syn_0016.jpg,train,0.016601,0.668413,0.242395,0.322963,0.811086,128.389557,0.138602,0.282804,1.033966,0.781453,0.187119,0.110464,1.038698,-1.209548,0.074990,9.147785,0.243920,0.269263,0.004412,0.569334,1.100885,0.025361,0.050525,0.066452,ok,low,low,ok,low,high,ok,high,high,ok,low,ok,ok,low,ok,ok,ok,low,low,high,ok,low,ok,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0017,data/raw/images/syn_0017.jpg,train,0.009784,0.748911,0.309115,0.397456,0.977979,111.394216,0.173982,0.188286,0.900173,0.851765,0.329343,0.120052,0.871288,5.965809,0.067393,4.304461,0.237315,0.309860,0.001000,0.498038,1.934774,0.027324,0.067443,0.062337,ok,ok,high,high,high,ok,high,low,ok,high,high,ok,low,ok,ok,low,low,ok,low,ok,ok,ok,high,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0018,data/raw/images/syn_0018.jpg,train,0.010725,0.679799,0.307806,0.284196,0.856716,110.427442,0.142096,0.228445,0.921839,0.848091,0.293684,0.112125,0.868372,6.526474,0.090563,13.803238,0.233839,0.301057,0.011413,0.475619,1.525976,0.018284,0.064900,0.062838,ok,ok,high,low,ok,ok,ok,ok,ok,high,ok,ok,low,high,ok,high,low,ok,ok,ok,ok,low,high,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0019,data/raw/images/syn_0019.jpg,train,0.031566,0.854974,0.267241,0.358193,0.880685,141.306225,0.088063,0.239431,0.846458,0.625106,0.158750,0.085456,1.210354,0.960739,0.075451,3.345949,0.281383,0.255922,0.025177,0.430345,-0.412069,0.032982,0.055297,0.072096,high,high,ok,ok,ok,high,low,ok,low,low,low,low,high,low,ok,low,ok,low,high,low,low,ok,ok,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0020,data/raw/images/syn_0020.jpg,train,0.019445,0.647530,0.257587,0.331361,0.930753,122.605516,0.136418,0.254784,0.893575,0.771826,0.290846,0.158205,1.035220,2.772204,0.059083,10.744209,0.239432,0.313747,0.001000,0.532159,-1.829844,0.025781,0.067703,0.038986,ok,low,ok,ok,ok,ok,ok,high,ok,ok,ok,high,ok,ok,low,ok,ok,ok,low,high,low,low,high,low,percentile_p20_p80,synthetic,synthetic_v1
syn_0021,data/raw/images/syn_0021.jpg,train,0.017047,0.724455,0.240058,0.427147,0.984914,94.340590,0.096530,0.252329,0.854849,0.756682,0.287773,0.137296,1.016512,4.333273,0.064465,13.169446,0.242664,0.313589,0.006884,0.485316,1.079592,0.030700,0.042835,0.064557,ok,ok,low,high,high,low,low,high,low,ok,ok,high,ok,ok,ok,high,ok,ok,ok,ok,ok,ok,low,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0022,data/raw/images/syn_0022.jpg,train,0.022242,0.723647,0.287323,0.370476,0.896240,118.910070,0.141592,0.228640,0.920860,0.765391,0.280358,0.108197,1.049779,4.361701,0.086180,8.151277,0.268121,0.299995,0.009441,0.462358,0.893916,0.029268,0.056901,0.054377,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0023,data/raw/images/syn_0023.jpg,train,0.024844,0.724406,0.321762,0.413010,0.834826,114.708208,0.124015,0.155148,0.953761,0.851328,0.279614,0.107670,1.213636,-4.207368,0.083550,8.573136,0.240020,0.355663,0.021707,0.466942,1.283260,0.028896,0.048855,0.039302,ok,ok,high,high,ok,ok,ok,low,ok,high,ok,ok,high,low,ok,ok,ok,high,high,ok,ok,ok,ok,low,percentile_p20_p80,synthetic,synthetic_v1
syn_0024,data/raw/images/syn_0024.jpg,train,0.034559,0.781680,0.311927,0.305283,1.025659,141.761983,0.145642,0.183831,0.876678,0.805113,0.225219,0.119145,1.213297,-1.273883,0.120115,14.266834,0.216702,0.243454,0.009166,0.428443,0.840698,0.011351,0.052256,0.076634,high,high,high,low,high,high,ok,low,low,ok,low,ok,high,low,high,high,low,low,ok,low,ok,low,ok,high,percentile_p20_p80,synthetic,synthetic_v1
syn_0025,data/raw/images/syn_0025.jpg,train,0.004601,0.703616,0.220416,0.391912,0.864228,141.288797,0.146205,0.205113,0.947514,0.749626,0.199642,0.127549,1.023770,4.582103,0.087509,5.958721,0.274755,0.369508,0.001000,0.566871,0.892992,0.025867,0.084127,0.056860,low,ok,low,ok,ok,high,ok,ok,ok,ok,low,ok,ok,ok,ok,ok,ok,high,low,high,ok,low,high,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0026,data/raw/images/syn_0026.jpg,train,0.034445,0.769056,0.212776,0.366041,0.843228,101.898489,0.086849,0.224092,0.949513,0.803440,0.261650,0.100037,0.901971,2.056938,0.059339,7.186901,0.259199,0.264160,0.009679,0.441984,1.488819,0.036057,0.057138,0.060666,high,high,low,ok,ok,low,low,ok,ok,ok,ok,ok,low,ok,low,ok,ok,low,ok,low,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0027,data/raw/images/syn_0027.jpg,train,0.001000,0.697278,0.291070,0.392058,0.768140,119.910139,0.176193,0.212856,0.915262,0.807027,0.294827,0.136866,1.060862,4.533736,0.064351,7.318249,0.303859,0.291833,0.010314,0.455425,3.467965,0.025163,0.065926,0.043756,low,ok,ok,ok,low,ok,high,ok,ok,ok,ok,high,ok,ok,ok,ok,high,ok,ok,ok,high,low,high,low,percentile_p20_p80,synthetic,synthetic_v1
syn_0028,data/raw/images/syn_0028.jpg,train,0.005307,0.732356,0.285207,0.374878,0.954378,113.050048,0.153290,0.183607,0.982958,0.817948,0.312191,0.124697,0.932160,2.854200,0.090036,7.923264,0.264331,0.245607,0.013811,0.445404,-1.208341,0.030763,0.032722,0.063383,low,ok,ok,ok,high,ok,ok,low,high,ok,ok,ok,ok,ok,ok,ok,ok,low,ok,ok,low,ok,low,ok,percentile_p20_p80,synthetic,synthetic_v1
syn_0029,data/raw/images/syn_0029.jpg,train,0.020556,0.719198,0.270062,0.348183,0.877355,110.728799,0.141354,0.226644,0.916101,0.772584,0.282730,0.122192,1.091031,4.016097,0.076551,7.538735,0.261592,0.315562,0.011199,0.466843,0.956183,0.027807,0.055989,0.050916,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,percentile_p20_p80,synthetic,synthetic_v1
