sample_id,image_path,split,symmetry_error,face_aspect_ratio,midface_length_ratio,lowerface_length_ratio,jaw_width_ratio,jaw_angle_sharpness,chin_length_ratio,chin_width_ratio,cheekbone_width_ratio,lower_cheek_ratio,eye_openness_ratio,eye_size_ratio,eye_spacing_ratio,eye_tilt_deg,brow_height_ratio,brow_tilt_deg,nose_width_ratio,nose_length_ratio,nose_tip_deviation_ratio,mouth_width_ratio,mouth_corner_tilt_deg,lip_thickness_ratio,upper_lip_ratio,philtrum_ratio,y_symmetry_error,y_face_aspect_ratio,y_midface_length_ratio,y_lowerface_length_ratio,y_jaw_width_ratio,y_jaw_angle_sharpness,y_chin_length_ratio,y_chin_width_ratio,y_cheekbone_width_ratio,y_lower_cheek_ratio,y_eye_openness_ratio,y_eye_size_ratio,y_eye_spacing_ratio,y_eye_tilt_deg,y_brow_height_ratio,y_brow_tilt_deg,y_nose_width_ratio,y_nose_length_ratio,y_nose_tip_deviation_ratio,y_mouth_width_ratio,y_mouth_corner_tilt_deg,y_lip_thickness_ratio,y_upper_lip_ratio,y_philtrum_ratio,suggestion_ids,priority_order,annotator_id,label_method,consent_flag,source,feature_contract_version,yaw_deg,pitch_deg
lfw_00288,data/raw/images/lfw_00288.jpg,test,0.004834,0.899831,0.272338,0.420732,0.816476,108.548718,0.420732,0.322988,0.992119,0.906824,0.248284,0.195332,1.263025,-0.483789,0.098616,-0.253852,0.223733,0.209351,0.015690,0.375602,-0.426275,0.010056,0.023424,0.069881,low,high,high,ok,high,low,ok,ok,high,high,ok,ok,ok,ok,low,high,ok,ok,low,ok,ok,ok,ok,ok,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_HIGH_01|SUG_JAW_WIDE_01|SUG_JAW_ANGLE_LOW_01,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_HIGH_01|SUG_JAW_WIDE_01|SUG_JAW_ANGLE_LOW_01,rules_v1,rules_v1,research_lfw,lfw,v1,2.211265129968524,-4.869933879724178
lfw_00448,data/raw/images/lfw_00448.jpg,test,0.005448,0.838780,0.235124,0.441906,0.778318,109.476566,0.441906,0.312616,0.977470,0.872231,0.283030,0.209240,1.256918,-1.821118,0.136667,-2.138414,0.232683,0.196515,0.006673,0.451420,-0.814803,0.059249,0.025542,0.063177,low,ok,low,ok,low,ok,ok,ok,low,low,ok,high,ok,ok,high,ok,ok,ok,low,high,ok,high,ok,low,SUG_MIDFACE_LOW_01|SUG_JAW_NARROW_01|SUG_CHEEK_NARROW_01|SUG_LOWER_CHEEK_LOW_01,SUG_MIDFACE_LOW_01|SUG_JAW_NARROW_01|SUG_CHEEK_NARROW_01|SUG_LOWER_CHEEK_LOW_01,rules_v1,rules_v1,research_lfw,lfw,v1,1.0653016841970384,-13.088171654213541
lfw_00506,data/raw/images/lfw_00506.jpg,test,0.028627,0.896312,0.233174,0.450966,0.813279,105.687813,0.450966,0.325571,0.989864,0.903016,0.229362,0.191714,1.317456,-1.376944,0.107527,-2.367739,0.232931,0.194621,0.061307,0.400645,0.757960,0.004469,0.027772,0.082533,ok,high,low,ok,ok,low,ok,ok,ok,ok,ok,low,high,ok,ok,ok,ok,low,ok,ok,high,low,ok,ok,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_LOW_01|SUG_JAW_ANGLE_LOW_01|SUG_EYE_SIZE_LOW_01,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_LOW_01|SUG_JAW_ANGLE_LOW_01|SUG_EYE_SIZE_LOW_01,rules_v1,rules_v1,research_lfw,lfw,v1,-8.514145664870739,-14.250874061598518
lfw_00543,data/raw/images/lfw_00543.jpg,test,0.044372,0.867542,0.260419,0.433836,0.812566,110.968273,0.433836,0.333887,0.990594,0.903504,0.241764,0.210505,1.176690,5.768977,0.107953,5.664421,0.237075,0.208060,0.075417,0.435656,7.088552,0.042919,0.021874,0.070553,high,ok,ok,ok,ok,ok,ok,high,ok,ok,ok,high,low,high,ok,high,ok,ok,ok,high,high,ok,ok,ok,SUG_SYM_HIGH_01|SUG_CHIN_WIDE_01|SUG_EYE_SIZE_HIGH_01|SUG_EYE_CLOSE_01,SUG_SYM_HIGH_01|SUG_CHIN_WIDE_01|SUG_EYE_SIZE_HIGH_01|SUG_EYE_CLOSE_01,rules_v1,rules_v1,research_lfw,lfw,v1,10.344835862517357,-8.080840434028909
lfw_00544,data/raw/images/lfw_00544.jpg,test,0.009278,0.875286,0.234870,0.449334,0.798155,107.988708,0.449334,0.319928,0.986161,0.892665,0.271729,0.198196,1.203518,4.351574,0.128659,3.341966,0.224682,0.198410,0.030932,0.423183,5.276329,0.053574,0.025015,0.072609,ok,high,low,ok,ok,low,ok,ok,ok,ok,ok,ok,ok,high,ok,high,ok,ok,ok,ok,high,high,ok,ok,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_LOW_01|SUG_JAW_ANGLE_LOW_01|SUG_EYE_TILT_HIGH_01,SUG_FACE_ASPECT_HIGH_01|SUG_MIDFACE_LOW_01|SUG_JAW_ANGLE_LOW_01|SUG_EYE_TILT_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,-4.47789921797812,-13.810405377274803
lfw_00598,data/raw/images/lfw_00598.jpg,test,0.027051,0.847493,0.275323,0.400522,0.788751,111.041442,0.400522,0.305474,0.981054,0.880848,0.311688,0.211198,1.174831,-1.012976,0.133728,-0.752905,0.222777,0.213707,0.078067,0.371678,-2.157819,0.004718,0.025344,0.077085,ok,ok,high,low,ok,ok,low,low,ok,ok,ok,high,low,ok,high,ok,ok,high,ok,ok,ok,low,ok,ok,SUG_MIDFACE_HIGH_01|SUG_LOWERFACE_LOW_01|SUG_CHIN_SHORT_01|SUG_CHIN_NARROW_01,SUG_MIDFACE_HIGH_01|SUG_LOWERFACE_LOW_01|SUG_CHIN_SHORT_01|SUG_CHIN_NARROW_01,rules_v1,rules_v1,research_lfw,lfw,v1,11.168425440788269,-2.2723285339725665
lfw_00662,data/raw/images/lfw_00662.jpg,test,0.010606,0.813043,0.262428,0.432477,0.779357,115.082718,0.432477,0.333391,0.981318,0.871718,0.306307,0.212356,1.330023,4.557863,0.099586,3.842153,0.243657,0.197741,0.038659,0.353154,3.326791,0.035902,0.039163,0.090074,ok,low,ok,ok,low,high,ok,high,ok,low,ok,high,high,high,low,high,high,ok,ok,ok,high,ok,high,ok,SUG_FACE_ASPECT_LOW_01|SUG_JAW_NARROW_01|SUG_JAW_ANGLE_HIGH_01|SUG_CHIN_WIDE_01,SUG_FACE_ASPECT_LOW_01|SUG_JAW_NARROW_01|SUG_JAW_ANGLE_HIGH_01|SUG_CHIN_WIDE_01,rules_v1,rules_v1,research_lfw,lfw,v1,-5.55289276689291,-7.6237091820298355
lfw_00663,data/raw/images/lfw_00663.jpg,test,0.005562,0.845767,0.245087,0.419848,0.778620,108.694915,0.419848,0.295343,0.980876,0.874527,0.339344,0.208359,1.219267,-1.395157,0.134380,-1.071148,0.214651,0.196402,0.023203,0.367330,-2.893760,0.015653,0.030412,0.086016,low,ok,ok,ok,low,low,ok,low,ok,low,high,high,ok,ok,high,ok,low,ok,ok,ok,low,ok,ok,ok,SUG_JAW_NARROW_01|SUG_JAW_ANGLE_LOW_01|SUG_CHIN_NARROW_01|SUG_LOWER_CHEEK_LOW_01,SUG_JAW_NARROW_01|SUG_JAW_ANGLE_LOW_01|SUG_CHIN_NARROW_01|SUG_LOWER_CHEEK_LOW_01,rules_v1,rules_v1,research_lfw,lfw,v1,3.345074074342847,-9.254061717174384
lfw_01290,data/raw/images/lfw_01290.jpg,test,0.033726,0.813495,0.306261,0.390816,0.810948,117.092702,0.390816,0.328358,0.988598,0.900036,0.249403,0.198236,1.319062,0.885366,0.095890,-0.023235,0.248742,0.227349,0.094591,0.441574,0.986988,0.043901,0.015699,0.043640,high,low,high,low,ok,high,low,ok,ok,ok,ok,ok,high,high,low,high,high,high,high,high,high,ok,low,low,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_FACE_ASPECT_LOW_01|SUG_MIDFACE_HIGH_01,SUG_SYM_HIGH_01|SUG_NOSE_DEV_HIGH_01|SUG_FACE_ASPECT_LOW_01|SUG_MIDFACE_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,-13.161520175635815,3.4830191314763175
lfw_01302,data/raw/images/lfw_01302.jpg,test,0.003276,0.859341,0.304715,0.396192,0.780110,113.961135,0.396192,0.320451,0.977192,0.871381,0.394138,0.205434,1.141809,-1.002419,0.122425,-1.114444,0.207335,0.221304,0.006243,0.311453,-0.572426,0.010903,0.024400,0.089273,low,ok,high,low,low,high,low,ok,low,low,high,ok,low,ok,ok,ok,low,high,low,low,ok,ok,ok,ok,SUG_MIDFACE_HIGH_01|SUG_LOWERFACE_LOW_01|SUG_JAW_NARROW_01|SUG_JAW_ANGLE_HIGH_01,SUG_MIDFACE_HIGH_01|SUG_LOWERFACE_LOW_01|SUG_JAW_NARROW_01|SUG_JAW_ANGLE_HIGH_01,rules_v1,rules_v1,research_lfw,lfw,v1,0.7767555643804371,2.6538062932251956
lfw_01388,data/raw/images/lfw_01388.jpg,test,0.012831,0.821214,0.266213,0.406095,0.777042,112.470159,0.406095,0.309623,0.977338,0.869578,0.284457,0.207695,1.173657,-2.644995,0.135232,-2.089214,0.227593,0.215748,0.055577,0.383088,-3.449951,0.000473,0.022894,0.087305,ok,ok,ok,low,low,ok,low,ok,low,low,ok,ok,low,low,high,ok,ok,high,ok,ok,low,low,ok,ok,SUG_LOWERFACE_LOW_01|SUG_JAW_NARROW_01|SUG_CHIN_SHORT_01|SUG_CHEEK_NARROW_01,SUG_LOWERFACE_LOW_01|SUG_JAW_NARROW_01|SUG_CHIN_SHORT_01|SUG_CHEEK_NARROW_01,rules_v1,rules_v1,research_lfw,lfw,v1,7.965707212686539,-4.325591410414432
