feature,low_threshold_p20,high_threshold_p80,label_method
symmetry_error,0.009269,0.030522,percentile_p20_p80
face_aspect_ratio,0.820024,0.872716,percentile_p20_p80
midface_length_ratio,0.238229,0.270032,percentile_p20_p80
lowerface_length_ratio,0.413981,0.451269,percentile_p20_p80
jaw_width_ratio,0.782534,0.815542,percentile_p20_p80
jaw_angle_sharpness,108.747334,113.165595,percentile_p20_p80
chin_length_ratio,0.413981,0.451269,percentile_p20_p80
chin_width_ratio,0.309569,0.333326,percentile_p20_p80
cheekbone_width_ratio,0.980714,0.990780,percentile_p20_p80
lower_cheek_ratio,0.876133,0.904607,percentile_p20_p80
eye_openness_ratio,0.229336,0.323231,percentile_p20_p80
eye_size_ratio,0.193037,0.207846,percentile_p20_p80
eye_spacing_ratio,1.199272,1.284073,percentile_p20_p80
eye_tilt_deg,-2.184345,-0.129625,percentile_p20_p80
brow_height_ratio,0.106537,0.132256,percentile_p20_p80
brow_tilt_deg,-2.496563,-0.401867,percentile_p20_p80
nose_width_ratio,0.216678,0.237584,percentile_p20_p80
nose_length_ratio,0.195520,0.211192,percentile_p20_p80
nose_tip_deviation_ratio,0.019055,0.078524,percentile_p20_p80
mouth_width_ratio,0.343021,0.434501,percentile_p20_p80
mouth_corner_tilt_deg,-2.544126,0.114856,percentile_p20_p80
lip_thickness_ratio,0.006291,0.045862,percentile_p20_p80
upper_lip_ratio,0.021773,0.031937,percentile_p20_p80
philtrum_ratio,0.066637,0.090651,percentile_p20_p80
