feature,low_threshold_p20,high_threshold_p80,label_method
symmetry_error,0.008996,0.026039,percentile_p20_p80
face_aspect_ratio,0.674847,0.759093,percentile_p20_p80
midface_length_ratio,0.250984,0.307142,percentile_p20_p80
lowerface_length_ratio,0.321492,0.395772,percentile_p20_p80
jaw_width_ratio,0.827135,0.935007,percentile_p20_p80
jaw_angle_sharpness,110.333776,127.993573,percentile_p20_p80
chin_length_ratio,0.118654,0.160553,percentile_p20_p80
chin_width_ratio,0.193160,0.248575,percentile_p20_p80
cheekbone_width_ratio,0.877200,0.954097,percentile_p20_p80
lower_cheek_ratio,0.736900,0.821277,percentile_p20_p80
eye_openness_ratio,0.233924,0.323557,percentile_p20_p80
eye_size_ratio,0.100023,0.136680,percentile_p20_p80
eye_spacing_ratio,0.925276,1.166442,percentile_p20_p80
eye_tilt_deg,1.273138,6.366910,percentile_p20_p80
brow_height_ratio,0.064174,0.095326,percentile_p20_p80
brow_tilt_deg,5.095511,11.198693,percentile_p20_p80
nose_width_ratio,0.237577,0.285211,percentile_p20_p80
nose_length_ratio,0.272909,0.329609,percentile_p20_p80
nose_tip_deviation_ratio,0.005972,0.019415,percentile_p20_p80
mouth_width_ratio,0.444007,0.518327,percentile_p20_p80
mouth_corner_tilt_deg,-0.330205,3.382398,percentile_p20_p80
lip_thickness_ratio,0.026351,0.038624,percentile_p20_p80
upper_lip_ratio,0.045109,0.062727,percentile_p20_p80
philtrum_ratio,0.046436,0.064030,percentile_p20_p80
